datetime,doy,dap,hour,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs,fgl
2017-09-20 00:00:00,263,0.0,0,3.0026251670482136,0.0064677874191525885,1.373055066521343,0.02182645689104059,0.006364325021004547,0.00010346239814804179,0.050020856805770016,-1.4995134708247089,-1.5969239528109562,1.0,-0.0010485301698202614,0.6609947476396991,1.1160624640931759e-07,0.920000002232125
2017-09-20 01:00:00,263,0.0,1,3.005143993095024,0.0064677874191525885,1.373055066521343,0.02182645689104059,0.006364325021004547,0.00010346239814804179,0.050020856805770016,-1.3593824336940585,-1.4576836676799758,1.0,-0.000950655645058236,0.6600440919946409,5.418775778088738e-07,0.9200000108375516
2017-09-20 02:00:00,263,0.0,2,3.0076607079336295,0.0064677874191525885,1.373055066521343,0.02182645689104059,0.006364325021004547,0.00010346239814804179,0.050020856805770016,-1.3593824336940585,-1.4576836676799758,1.0,-0.000950655645058236,0.6590934363495826,1.2919784566575916e-06,0.9200000258395692
2017-09-20 03:00:00,263,0.0,3,3.0101753168652885,0.0064677874191525885,1.373055066521343,0.02182645689104059,0.006364325021004547,0.00010346239814804179,0.050020856805770016,-1.3593824336940585,-1.4576836676799758,1.0,-0.000950655645058236,0.6581427807045244,2.36190888295547e-06,0.9200000472381777
2017-09-20 04:00:00,263,0.0,4,3.0126878251691056,0.0064677874191525885,1.373055066521343,0.02182645689104059,0.006364325021004547,0.00010346239814804179,0.050020856805770016,-1.3593824336940585,-1.4576836676799758,1.0,-0.000950655645058236,0.6571921250594661,3.7516688567025093e-06,0.9200000750333772
2017-09-20 05:00:00,263,0.0,5,3.015198238102163,0.0064677874191525885,1.373055066521343,0.02182645689104059,0.006364325021004547,0.00010346239814804179,0.050020856805770016,-1.3593824336940585,-1.4576836676799758,1.0,-0.000950655645058236,0.6562414694144079,5.461258377898712e-06,0.9200001092251676
2017-09-20 06:00:00,263,0.0,6,3.0177065608996485,0.0064677874191525885,1.373055066521343,0.02182645689104059,0.006364325021004547,0.00010346239814804179,0.050020856805770016,-1.3593824336940585,-1.4576836676799758,1.0,-0.000950655645058236,0.6552908137693496,7.4906774465440745e-06,0.9200001498135489
2017-09-20 07:00:00,263,0.0,7,3.0198762174433167,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.6529972207946694,8.28182881036537e-06,0.9200001656365763
2017-09-20 08:00:00,263,0.0,8,3.0220443151782197,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.6507036278199891,9.077225006900784e-06,0.9200001815445001
2017-09-20 09:00:00,263,0.0,9,3.0242108574601585,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.6484100348453089,9.876866036150318e-06,0.9200001975373208
2017-09-20 10:00:00,263,0.0,10,3.026375847632909,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.6461164418706287,1.0680751898113968e-05,0.920000213615038
2017-09-20 11:00:00,263,0.0,11,3.028539289028282,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.6438228488959484,1.148888259279174e-05,0.920000229777652
2017-09-20 12:00:00,263,0.0,12,3.0307011849661842,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.6415292559212682,1.2301258120183627e-05,0.9200002460251624
2017-09-20 13:00:00,263,0.0,13,3.0328615387546756,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.639235662946588,1.3117878480289633e-05,0.9200002623575696
2017-09-20 14:00:00,263,0.0,14,3.0350203536900304,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.6369420699719077,1.3938743673109758e-05,0.9200002787748734
2017-09-20 15:00:00,263,0.0,15,3.0371776330567952,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.6346484769972275,1.4763853698643999e-05,0.920000295277074
2017-09-20 16:00:00,263,0.0,16,3.039333380127847,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.6323548840225472,1.559320855689236e-05,0.9200003118641712
2017-09-20 17:00:00,263,0.0,17,3.041487598164452,0.0064677874191525885,1.0893745534908643,0.0006544853638680889,0.006461577238833144,6.210180319444689e-06,1.0,-3.2834291368131883,-3.355943137608548,1.0,-0.0022935929746802407,0.630061291047867,1.642680824785484e-05,0.920000328536165
