datetime,assim_c,ddage,mgl,mo,RM,tempRM,RMpr,fgl,fr,fo,fggl,fgr,fgo,GT,available,gr_gl,gr_r,gr_o,gr_dl,wgl,wr,wo,maint,rootd
2017-09-20 00:00:00,-0.0010485301698202614,0.0,0.03,0.0,0.03,0.0013397168281703662,-0.0010485301698202614,0.920000002232125,0.07999999776787507,0.0,1.345960003265599,0.1155199967768116,0.0,1.4614800000424106,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0010485301698202614,0.0005
2017-09-20 01:00:00,-0.000950655645058236,0.0,0.03,0.0,0.03,0.0012499999999999998,-0.000950655645058236,0.9200000108375516,0.07999998916244845,0.0,1.345960015855338,0.11551998435057556,0.0,1.4614800002059136,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.000950655645058236,0.001
2017-09-20 02:00:00,-0.000950655645058236,0.0,0.03,0.0,0.03,0.0012499999999999998,-0.000950655645058236,0.9200000258395692,0.07999997416043086,0.0,1.3459600378032899,0.11551996268766217,0.0,1.461480000490952,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.000950655645058236,0.0015
2017-09-20 03:00:00,-0.000950655645058236,0.0,0.03,0.0,0.03,0.0012499999999999998,-0.000950655645058236,0.9200000472381777,0.07999995276182234,0.0,1.3459600691094542,0.11551993178807146,0.0,1.4614800008975257,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.000950655645058236,0.002
2017-09-20 04:00:00,-0.000950655645058236,0.0,0.03,0.0,0.03,0.0012499999999999998,-0.000950655645058236,0.9200000750333772,0.07999992496662287,0.0,1.345960109773831,0.11551989165180342,0.0,1.4614800014256344,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.000950655645058236,0.0025
2017-09-20 05:00:00,-0.000950655645058236,0.0,0.03,0.0,0.03,0.0012499999999999998,-0.000950655645058236,0.9200001092251676,0.07999989077483244,0.0,1.3459601597964204,0.11551984227885803,0.0,1.4614800020752785,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.000950655645058236,0.003
2017-09-20 06:00:00,-0.000950655645058236,0.0,0.03,0.0,0.03,0.0012499999999999998,-0.000950655645058236,0.9200001498135489,0.07999985018645107,0.0,1.3459602191772222,0.11551978366923535,0.0,1.4614800028464576,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.000950655645058236,0.0035
2017-09-20 07:00:00,-0.0022935929746802407,0.0,0.03,0.0,0.03,0.0023981602983131605,-0.0022935929746802407,0.9200001656365763,0.0799998343634238,0.0,1.345960242326311,0.11551976082078395,0.0,1.461480003147095,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0022935929746802407,0.004
2017-09-20 08:00:00,-0.0022935929746802407,0.0,0.03,0.0,0.03,0.0023981602983131605,-0.0022935929746802407,0.9200001815445001,0.07999981845549986,0.0,1.3459602655996037,0.11551973784974179,0.0,1.4614800034493456,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0022935929746802407,0.0045000000000000005
2017-09-20 09:00:00,-0.0022935929746802407,0.0,0.03,0.0,0.03,0.0023981602983131605,-0.0022935929746802407,0.9200001975373208,0.07999980246267928,0.0,1.3459602889971003,0.11551971475610888,0.0,1.4614800037532092,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0022935929746802407,0.005000000000000001
2017-09-20 10:00:00,-0.0022935929746802407,0.0,0.03,0.0,0.03,0.0023981602983131605,-0.0022935929746802407,0.920000213615038,0.07999978638496204,0.0,1.3459603125188007,0.11551969153988517,0.0,1.4614800040586857,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0022935929746802407,0.005500000000000001
2017-09-20 11:00:00,-0.0022935929746802407,0.0,0.03,0.0,0.03,0.0023981602983131605,-0.0022935929746802407,0.920000229777652,0.07999977022234815,0.0,1.3459603361647048,0.11551966820107072,0.0,1.4614800043657754,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0022935929746802407,0.006000000000000002
2017-09-20 12:00:00,-0.0022935929746802407,0.0,0.03,0.0,0.03,0.0023981602983131605,-0.0022935929746802407,0.9200002460251624,0.07999975397483759,0.0,1.3459603599348127,0.11551964473966549,0.0,1.4614800046744783,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0022935929746802407,0.006500000000000002
2017-09-20 13:00:00,-0.0022935929746802407,0.0,0.03,0.0,0.03,0.0023981602983131605,-0.0022935929746802407,0.9200002623575696,0.0799997376424304,0.0,1.3459603838291243,0.1155196211556695,0.0,1.4614800049847938,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0022935929746802407,0.007000000000000003
2017-09-20 14:00:00,-0.0022935929746802407,0.0,0.03,0.0,0.03,0.0023981602983131605,-0.0022935929746802407,0.9200002787748734,0.07999972122512654,0.0,1.34596040784764,0.11551959744908272,0.0,1.4614800052967227,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0022935929746802407,0.007500000000000003
2017-09-20 15:00:00,-0.0022935929746802407,0.0,0.03,0.0,0.03,0.0023981602983131605,-0.0022935929746802407,0.920000295277074,0.07999970472292603,0.0,1.3459604319903593,0.11551957361990518,0.0,1.4614800056102646,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,-0.0022935929746802407,0.008000000000000004
