leafnumber,leafnumber_range1,leafnumber_range2,eachLenDist_a,eachLenDist_b,eachLen,eachLeafArea,LeafArea,LAI_expect,LAI,leaf_area,leaf_length
,10,12,12.47099368,3.687383803,2.880659542,5.721470155,,,,96.408,11.7
,11,12,12.47099368,3.687383803,1.745382442,1.872113353,,,,2.176,1.6
,12,12,12.47099368,3.687383803,0.982535695,0.450734786,,,,3.36,2.1
13,1,13,13.1267088,3.969016981,9.923054195,75.94293688,836.0216956,3.939807647,,17.28,4.8
,2,13,13.1267088,3.969016981,11.60682088,104.5555049,,,,2.56,2
,3,13,13.1267088,3.969016981,12.74125969,126.4059313,,,,2.04,1.7
,4,13,13.1267088,3.969016981,13.12630886,134.2931754,,,,19.552,4.7
,5,13,13.1267088,3.969016981,12.69123939,125.398841,,,,48.032,7.9
,6,13,13.1267088,3.969016981,11.51586645,102.8933193,,,,80.704,9.7
,7,13,13.1267088,3.969016981,9.806643079,74.13337411,,,,120.032,12.1
,8,13,13.1267088,3.969016981,7.837459049,46.82805991,,,,0.8,1
,9,13,13.1267088,3.969016981,5.878430206,25.85611529,,,,8.584,3.7
,10,13,13.1267088,3.969016981,4.13788688,12.40479552,,,,45.864,9.1
,11,13,13.1267088,3.969016981,2.733550035,5.10569117,,,,62.64,8.7
,12,13,13.1267088,3.969016981,1.694753766,1.74876278,,,,3.68,2.3
,13,13,13.1267088,3.969016981,0.986091814,0.455187951,,,,5.408,2.6
14,1,14,13.73380618,4.250650159,10.25171832,81.16959683,984.0809969,4.637546917,,13.448,4.1
,2,14,13.73380618,4.250650159,11.93749015,110.7106511,,,,40.256,6.8
,3,14,13.73380618,4.250650159,13.15202897,134.8285211,,,,90.496,10.1
,4,14,13.73380618,4.250650159,13.70994957,146.7032664,,,,1.248,1.3
,5,14,13.73380618,4.250650159,13.52204346,142.6479359,,,,10.08,4.5
,6,14,13.73380618,4.250650159,12.61862886,123.9440926,,,,34.304,6.7
,7,14,13.73380618,4.250650159,11.14154391,96.19275196,,,,79.152,9.7
,8,14,13.73380618,4.250650159,9.307690959,66.62444178,,,,3.864,2.3
,9,14,13.73380618,4.250650159,7.357019437,41.1131842,,,,5.616,2.7
,10,14,13.73380618,4.250650159,5.502058725,22.53426833,,,,25.96,5.5
,11,14,13.73380618,4.250650159,3.893246564,10.90496614,,,,71.104,8.8
,12,14,13.73380618,4.250650159,2.606525428,4.602005738,,,,4.2,2.5
,13,14,13.73380618,4.250650159,1.651107662,1.645735512,,,,5.408,2.6
,14,14,13.73380618,4.250650159,0.989582916,0.459579498,,,,16.2,4.5
,,,,,,,,,,49.296,7.8
,,,,,,,,,,105.728,11.8
,,,,,,,,,,2.28,1.9
,,,,,,,,,,20.384,4.9
,,,,,,,,,,47.432,7.7
,,,,,,,,,,2.736,1.9
,,,,,,,,,,6.272,2.8
,,,,,,,,,,14.784,4.2
,,,,,,,,,,60.552,8.7
,,,,,,,,,,66.976,9.1
,,,,,,,,,,3.696,2.1
,,,,,,,,,,2.992,2.2
