leafnumber,leafnumber_range1,leafnumber_range2,eachLenDist_a,eachLenDist_b,eachLen,eachLeafArea,LeafArea,LAI_expect,LAI,leaf_length,leaf_area
,11,12,17.65322185,4.010138672,3.864419157,16.40624378,,,,3,6.72
,12,12,17.65322185,4.010138672,2.425551939,9.130516244,,,,4.8,17.28
13,1,13,18.59664973,4.010138672,14.030832,107.2672572,1176.22572,2.822941728,2.68944,9.3,58.032
,2,13,18.59664973,4.010138672,16.40110284,138.3880575,,,,2.7,5.184
,3,13,18.59664973,4.010138672,18.01591612,161.7418928,,,,5.1,18.36
,4,13,18.59664973,4.010138672,18.5965903,170.5660627,,,,8.1,50.544
,5,13,18.59664973,4.010138672,18.03864733,162.0830847,,,,2.2,2.816
,6,13,18.59664973,4.010138672,16.44251644,138.965202,,,,6.5,29.64
,7,13,18.59664973,4.010138672,14.08400837,107.9242407,,,,9.5,74.48
,8,13,18.59664973,4.010138672,11.33647244,76.45448956,,,,13.3,123.424
,9,13,18.59664973,4.010138672,8.574785629,49.91046852,,,,13.4,127.568
,10,13,18.59664973,4.010138672,6.094839572,30.42126024,,,,1.6,2.176
,11,13,18.59664973,4.010138672,4.070942408,17.56417523,,,,4.5,11.52
,12,13,18.59664973,4.010138672,2.55517889,9.729231552,,,,1.1,0.792
,13,13,18.59664973,4.010138672,1.507097452,5.210297205,,,,5.8,25.984
14,1,14,19.47012752,4.010138672,14.68985501,115.5428712,1270.405514,3.048973233,,9.9,75.24
,2,14,19.47012752,4.010138672,17.17145659,149.3115689,,,,2.5,4
,3,14,19.47012752,4.010138672,18.86211706,174.6762555,,,,6.4,30.208
,4,14,19.47012752,4.010138672,19.47006529,184.2644999,,,,9.2,64.768
,5,14,19.47012752,4.010138672,18.88591594,175.0469503,,,,12.2,97.6
,6,14,19.47012752,4.010138672,17.21481538,149.9381889,,,,14.1,163.56
,7,14,19.47012752,4.010138672,14.74552905,116.2552981,,,,1,0.8
,8,14,19.47012752,4.010138672,11.86894238,82.15888825,,,,4.1,9.512
,9,14,19.47012752,4.010138672,8.97754015,53.46384992,,,,1,0.32
,10,14,19.47012752,4.010138672,6.381111941,32.46099615,,,,5.1,21.624
,11,14,19.47012752,4.010138672,4.262153073,18.66168374,,,,10.5,86.52
,12,14,19.47012752,4.010138672,2.675194701,10.29357433,,,,3,7.2
,13,14,19.47012752,4.010138672,1.577885264,5.492373767,,,,6.6,32.208
,14,14,19.47012752,4.010138672,0.874559009,2.838514661,,,,9.8,73.696
15,1,15,20.28331588,4.010138672,15.30339075,123.5083698,1359.959565,3.263902956,,12.9,113.52
,2,15,20.28331588,4.010138672,17.88863878,159.8378641,,,,13.9,159.016
,3,15,20.28331588,4.010138672,19.64991129,187.1483162,,,,1.3,1.248
,4,15,20.28331588,4.010138672,20.28325105,197.4760924,,,,4.5,10.08
,5,15,20.28331588,4.010138672,19.67470416,187.5475644,,,,7.3,42.048
,6,15,20.28331588,4.010138672,17.93380849,160.5123485,,,,1,0.56
,7,15,20.28331588,4.010138672,15.36139008,124.274396,,,,5.2,21.632
,8,15,20.28331588,4.010138672,12.36466002,87.63999696,,,,10.5,93.24
,9,15,20.28331588,4.010138672,9.352495638,56.86948213,,,,2.5,4
,10,15,20.28331588,4.010138672,6.64762514,34.40921021,,,,3.7,7.992
