leafnumber,leafnumber_range1,leafnumber_range2,eachLenDist_a,eachLenDist_b,eachLen,eachLeafArea,LeafArea,LAI_expect,LAI,leaf_length,leaf_area
,11,12,18.11203393,2.952683187,0.441580757,1.711583177,,,,3,8.4
,12,12,18.11203393,2.952683187,0.165666574,0.623027597,,,,4.8,21.6
13,1,13,19.01879756,3.043880837,15.18017794,152.3375844,1148.608339,2.756660013,3.3618,9.3,72.54
,2,13,19.01879756,3.043880837,17.93264013,200.5864483,,,,2.7,6.48
,3,13,19.01879756,3.043880837,19.01682139,221.3297414,,,,5.1,22.95
,4,13,19.01879756,3.043880837,18.10330821,203.7866324,,,,8.1,63.18
,5,13,19.01879756,3.043880837,15.47049775,157.1279824,,,,2.2,3.52
,6,13,19.01879756,3.043880837,11.86798399,102.6714784,,,,6.5,37.05
,7,13,19.01879756,3.043880837,8.172895392,58.0843833,,,,9.5,93.1
,8,13,19.01879756,3.043880837,5.052441017,29.31888628,,,,13.3,154.28
,9,13,19.01879756,3.043880837,2.803837808,13.63569082,,,,13.4,159.46
,10,13,19.01879756,3.043880837,1.39678913,5.971578279,,,,1.6,2.72
,11,13,19.01879756,3.043880837,0.624647677,2.468945094,,,,4.5,14.4
,12,13,19.01879756,3.043880837,0.250764316,0.951975169,,,,1.1,0.99
,13,13,19.01879756,3.043880837,0.090369663,0.337012466,,,,5.8,32.48
14,1,14,19.85832956,3.135078487,15.74815926,161.7754188,1271.374892,3.05129974,,9.9,94.05
,2,14,19.85832956,3.135078487,18.5984966,213.2096635,,,,2.5,5
,3,14,19.85832956,3.135078487,19.83990544,237.7335811,,,,6.4,37.76
,4,14,19.85832956,3.135078487,19.11679453,223.2919681,,,,9.2,80.96
,5,14,19.85832956,3.135078487,16.63812042,177.1056463,,,,12.2,122
,6,14,19.85832956,3.135078487,13.07998273,119.7815741,,,,14.1,204.45
,7,14,19.85832956,3.135078487,9.288033957,70.33799686,,,,1,1
,8,14,19.85832956,3.135078487,5.957363974,36.82295763,,,,4.1,11.89
,9,14,19.85832956,3.135078487,3.45142302,17.71908697,,,,1,0.4
,10,14,19.85832956,3.135078487,1.806158937,8.030713321,,,,5.1,27.03
,11,14,19.85832956,3.135078487,0.853743586,3.45619261,,,,10.5,108.15
,12,14,19.85832956,3.135078487,0.364512696,1.401124785,,,,3,9
,13,14,19.85832956,3.135078487,0.14057613,0.527195175,,,,6.6,40.26
,14,14,19.85832956,3.135078487,0.048969337,0.181772429,,,,9.8,92.12
15,1,15,20.63991514,3.226276137,16.26711668,170.6343768,1395.898883,3.350157318,,12.9,141.9
,2,15,20.63991514,3.226276137,19.20157921,224.9626289,,,,13.9,198.77
,3,15,20.63991514,3.226276137,20.58921392,253.1594668,,,,1.3,1.56
,4,15,20.63991514,3.226276137,20.05483231,242.1102469,,,,4.5,12.6
,5,15,20.63991514,3.226276137,17.744949,197.0951747,,,,7.3,52.56
,6,15,20.63991514,3.226276137,14.26287011,137.6645579,,,,1,0.7
,7,15,20.63991514,3.226276137,10.41395148,83.76451797,,,,5.2,27.04
,8,15,20.63991514,3.226276137,6.90717762,45.43548019,,,,10.5,116.55
,9,15,20.63991514,3.226276137,4.16161739,22.60024548,,,,2.5,5
,10,15,20.63991514,3.226276137,2.277718905,10.57626596,,,,3.7,9.99
