DAP,Ta,midRateLN,earlyRateLN,leafRate,LN,LN 실측 평균
1,18,0.816238902,0.040811945,0.040811945,3.040811945,
2,18,0.805283836,0.040264192,0.040264192,3.081076137,
3,18,0.794760207,0.03973801,0.03973801,3.120814147,
4,18,0.784640351,0.039232018,0.627712281,3.748526428,
5,18,0.653247817,0.032662391,0.522598254,4.271124682,
6,18,0.573318948,0.028665947,0.458655158,4.72977984,
7,18,0.51772319,0.02588616,0.414178552,5.143958392,7.285714286
8,18,0.476037425,0.023801871,0.38082994,5.524788332,
9,18,0.443223624,0.022161181,0.354578899,5.879367231,
10,18,0.41649324,0.020824662,0.333194592,6.212561823,
11,18,0.394155709,0.019707785,0.315324567,6.52788639,
12,18,0.375116318,0.018755816,0.300093054,6.827979445,
13,18,0.358629771,0.017931489,0.286903817,7.114883262,
14,18,0.34416822,0.017208411,0.275334576,7.390217838,9.5
15,18,0.331345674,0.016567284,0.265076539,7.655294376,
16,18,0.319872311,0.091737317,0.255897849,7.911192226,
17,18,0.309525624,0.091737317,0.247620499,8.158812725,
18,18,0.300131501,0.091737317,0.240105201,8.398917925,
19,18,0.291551451,0.091737317,0.233241161,8.632159086,
20,18,0.283673723,0.091737317,0.226938979,8.859098064,
21,18,0.276406999,0.091737317,0.221125599,9.080223663,
22,18,0.269675814,0.091737317,0.215740651,9.295964315,
23,18,0.26341718,0.091737317,0.210733744,9.506698059,
24,18,0.257578046,0.091737317,0.206062437,9.712760495,
25,18,0.252113362,0.091737317,0.20169069,9.914451185,
26,18,0.246984595,0.091737317,0.197587676,10.11203886,
27,18,0.242158554,0.091737317,0.193726843,10.3057657,
28,18,0.237606479,0.091737317,0.190085184,10.49585089,
29,18,0.233303306,0.091737317,0.186642644,10.68249353,
30,18,0.229227071,0.091737317,0.183381657,10.86587519,
31,18,0.225358442,0.091737317,0.180286754,11.04616194,
32,18,0.221680319,0.091737317,0.177344255,11.2235062,
33,18,0.218177516,0.091737317,0.174542013,11.39804821,
34,18,0.214836493,0.091737317,0.171869195,11.56991741,
35,18,0.211645133,0.091737317,0.169316106,11.73923351,
36,18,0.208592555,0.091737317,0.166874044,11.90610756,
37,18,0.205668956,0.091737317,0.164535165,12.07064272,
38,18,0.202865478,0.091737317,0.162292383,12.2329351,
39,18,0.200174094,0.091737317,0.160139276,12.39307438,
40,18,0.19758751,0.091737317,0.158070008,12.55114439,
41,18,0.195099079,0.091737317,0.156079263,12.70722365,
42,18,0.192702732,0.091737317,0.154162185,12.86138584,
43,18,0.190392912,0.091737317,0.15231433,13.01370017,
44,18,0.188164525,0.091737317,0.15053162,13.16423178,
45,18,0.186012883,0.091737317,0.148810306,13.31304209,
46,18,0.183933671,0.091737317,0.147146937,13.46018903,
47,18,0.181922906,0.091737317,0.145538325,13.60572735,
48,18,0.179976906,0.091737317,0.143981524,13.74970888,
49,18,0.178092258,0.091737317,0.142473807,13.89218268,
50,18,0.176265801,0.091737317,0.141012641,14.03319533,
51,18,0.174494593,0.091737317,0.139595674,14.172791,
52,18,0.172775899,0.091737317,0.138220719,14.31101172,
53,18,0.171107169,0.091737317,0.136885736,14.44789745,
54,18,0.169486025,0.091737317,0.13558882,14.58348627,
55,18,0.167910242,0.091737317,0.134328193,14.71781447,16
