DAP,Ta,midRateLN,earlyRateLN,leafRate,LN,LN_observed
1,21,0.791099203,0.03955496,0.03955496,2.03955496,2
2,21,0.791099203,0.03955496,0.03955496,2.07910992,
3,21,0.791099203,0.03955496,0.791099203,2.870209123,
4,21,0.791099203,0.03955496,0.791099203,3.661308326,
5,21,0.527399469,0.026369973,0.527399469,4.188707795,
6,21,0.395549602,0.01977748,0.395549602,4.584257396,
7,21,0.395549602,0.01977748,0.395549602,4.979806998,4.791666667
8,21,0.395549602,0.01977748,0.395549602,5.3753566,
9,21,0.316439681,0.015821984,0.316439681,5.691796281,
10,21,0.316439681,0.015821984,0.316439681,6.008235962,
11,21,0.263699734,0.013184987,0.263699734,6.271935696,
12,21,0.263699734,0.013184987,0.263699734,6.535635431,
13,21,0.263699734,0.013184987,0.263699734,6.799335165,
14,21,0.263699734,0.013184987,0.263699734,7.063034899,6.4375
15,21,0.226028344,0.011301417,0.226028344,7.289063243,
16,21,0.226028344,0.011301417,0.226028344,7.515091587,8.666666667
17,21,0.226028344,0.011301417,0.226028344,7.74111993,
18,21,0.226028344,0.011301417,0.226028344,7.967148274,
19,21,0.226028344,0.011301417,0.226028344,8.193176618,
20,21,0.197774801,0.00988874,0.197774801,8.390951419,
21,21,0.197774801,0.00988874,0.197774801,8.588726219,7.923076923
22,21,0.197774801,0.00988874,0.197774801,8.78650102,
23,21,0.197774801,0.00988874,0.197774801,8.984275821,
24,21,0.197774801,0.00988874,0.197774801,9.182050622,
25,21,0.175799823,0.008789991,0.175799823,9.357850444,
26,21,0.175799823,0.008789991,0.175799823,9.533650267,
27,21,0.175799823,0.008789991,0.175799823,9.70945009,
28,21,0.175799823,0.008789991,0.175799823,9.885249913,10
29,21,0.175799823,0.008789991,0.175799823,10.06104974,
30,21,0.158219841,0.007910992,0.158219841,10.21926958,
