DAP,Ta,midRateLN,earlyRateLN,leafRate,LN,LN 실측 평균
1,24,1.005873628,0.050293681,0.050293681,3.050293681,
2,24,0.989288639,0.049464432,0.049464432,3.099758113,
3,24,0.973502052,0.048675103,0.048675103,3.148433216,
4,24,0.95845161,0.04792258,0.766761288,3.915194504,
5,24,0.770746097,0.038537305,0.616596878,4.531791381,
6,24,0.665878155,0.033293908,0.532702524,5.064493905,
7,24,0.595838585,0.029791929,0.476670868,5.541164773,4.53
8,24,0.544582413,0.027229121,0.43566593,5.976830704,
9,24,0.504886458,0.025244323,0.403909166,6.38073987,
10,24,0.472926486,0.023646324,0.378341189,6.759081059,
11,24,0.446454312,0.022322716,0.35716345,7.116244508,
12,24,0.424046824,0.021202341,0.339237459,7.455481968,
13,24,0.404751953,0.020237598,0.323801562,7.77928353,
14,24,0.387904731,0.019395237,0.310323785,8.089607314,7.69
15,24,0.373024396,0.01865122,0.298419517,8.388026831,
16,24,0.359753366,0.091737317,0.287802692,8.675829524,
17,24,0.347819292,0.091737317,0.278255434,8.954084957,
18,24,0.337010526,0.091737317,0.269608421,9.223693378,
19,24,0.327159714,0.091737317,0.261727771,9.485421149,
20,24,0.318132515,0.091737317,0.254506012,9.739927161,
21,24,0.309819656,0.091737317,0.247855725,9.987782886,9.5
22,24,0.302131205,0.091737317,0.241704964,10.22948785,
23,24,0.294992372,0.091737317,0.235993897,10.46548175,
24,24,0.28834037,0.091737317,0.230672296,10.69615404,
25,24,0.282122048,0.091737317,0.225697638,10.92185168,
26,24,0.276292058,0.091737317,0.221033647,11.14288533,
27,24,0.270811446,0.091737317,0.216649156,11.35953449,
28,24,0.265646527,0.091737317,0.212517222,11.57205171,
29,24,0.260768009,0.091737317,0.208614407,11.78066611,
30,24,0.256150277,0.091737317,0.204920221,11.98558634,
31,24,0.251770819,0.091737317,0.201416655,12.18700299,13
32,24,0.24760976,0.091737317,0.198087808,12.3850908,
33,24,0.243649476,0.091737317,0.194919581,12.58001038,
34,24,0.239874276,0.091737317,0.191899421,12.7719098,
35,24,0.236270137,0.091737317,0.18901611,12.96092591,
36,24,0.232824484,0.091737317,0.186259587,13.1471855,
37,24,0.229525999,0.091737317,0.183620799,13.3308063,
38,24,0.226364469,0.091737317,0.181091575,13.51189787,
39,24,0.223330646,0.091737317,0.178664517,13.69056239,
40,24,0.220416138,0.091737317,0.17633291,13.8668953,
41,24,0.217613303,0.091737317,0.174090642,14.04098594,
42,24,0.21491517,0.091737317,0.171932136,14.21291808,
43,24,0.212315365,0.091737317,0.169852292,14.38277037,
44,24,0.209808042,0.091737317,0.167846433,14.5506168,
45,24,0.207387833,0.091737317,0.165910266,14.71652707,
46,24,0.205049797,0.091737317,0.164039837,14.8805669,
47,24,0.202789376,0.091737317,0.162231501,15.04279841,
48,24,0.200602361,0.091737317,0.160481889,15.2032803,
49,24,0.198484855,0.091737317,0.158787884,15.36206818,
50,24,0.196433244,0.091737317,0.157146595,15.51921477,
51,24,0.194444173,0.091737317,0.155555338,15.67477011,
52,24,0.192514522,0.091737317,0.154011618,15.82878173,
53,24,0.190641386,0.091737317,0.152513109,15.98129484,
54,24,0.188822052,0.091737317,0.151057642,16.13235248,
55,24,0.187053989,0.091737317,0.149643191,16.28199567,
